PGA(g),B(m),DF(m),Y(kN/m3),Beban(kN),SF
0.1,1.6,1.0,19,200,1.69
0.0,2.7,1.5,17,50,4.48
1.0,2.5,1.0,19,100,2.27
0.5,2.0,1.0,17,50,2.42
1.0,2.8,1.5,21,150,1.98
0.1,2.2,2.0,17,100,2.92
0.0,2.9,1.0,21,100,3.17
0.5,2.8,2.0,17,50,3.47
0.1,2.8,1.5,19,50,4.24
0.1,2.2,1.0,17,100,2.39
0.1,2.5,2.0,17,100,3.06
0.5,1.9,1.5,19,200,1.7
1.0,2.7,1.0,17,150,1.76
0.5,1.5,0.5,17,150,1.49
0.0,2.7,0.5,19,200,2.35
0.1,2.7,2.0,19,150,2.76
0.1,2.3,2.0,17,100,2.96
0.0,2.8,1.5,21,200,2.63
0.1,2.4,1.0,17,100,2.43
0.0,1.1,1.0,17,150,1.91
0.5,1.8,0.5,21,200,1.47
0.5,2.6,1.5,17,200,1.92
0.5,1.8,0.5,21,50,2.34
0.5,2.8,0.5,21,100,2.12
0.5,2.9,2.5,17,200,2.32
0.5,1.6,0.5,17,100,1.56
0.0,2.3,2.0,17,150,2.39
0.1,1.5,1.5,19,150,1.96
0.0,2.3,1.5,19,150,2.7
0.1,2.1,1.0,21,100,2.46
0.5,1.7,1.0,21,100,2.26
0.0,2.5,1.5,21,50,4.6
0.1,2.9,1.5,19,150,2.63
1.0,2.6,2.0,19,200,1.8
1.0,2.4,1.0,19,200,1.65
0.5,2.4,2.0,19,50,3.62
0.1,2.8,2.5,17,50,5.13
0.0,1.6,1.5,17,150,1.89
0.1,1.6,0.5,21,100,1.68
0.0,1.0,0.5,19,200,1.47
0.0,3.0,2.0,17,200,2.47
0.0,2.5,1.0,19,200,2.34
0.0,3.0,2.0,17,150,2.73
0.1,2.7,1.0,17,150,2.1
0.5,1.7,0.5,21,200,1.45
1.0,2.5,1.5,17,150,1.79
0.5,2.3,1.0,19,150,1.99
0.0,1.5,1.0,17,100,2.44
1.0,1.6,1.5,19,200,1.4
0.1,1.7,1.5,17,100,2.43
0.5,2.8,2.5,21,50,4.63
0.1,1.0,1.0,21,200,1.37
0.1,2.0,1.5,21,100,2.76
0.1,2.9,1.5,17,200,2.14
0.0,2.9,2.0,19,100,4.04
0.5,2.6,1.0,19,50,3.57
0.1,1.5,0.5,19,150,1.61
0.5,3.0,0.5,17,200,1.72
0.1,1.0,1.0,17,150,1.62
0.5,1.6,0.5,21,100,1.56
0.0,2.5,1.0,19,50,4.271
0.0,2.3,1.5,17,100,2.89
0.1,1.9,0.5,17,150,1.71
0.5,1.7,1.5,19,100,2.59
0.1,1.8,0.5,17,100,1.73
1.0,2.5,2.0,17,200,1.64
0.0,2.7,0.5,17,50,3.48
0.1,2.7,0.5,21,100,2.28
0.1,1.8,1.0,19,150,1.79
0.1,2.4,0.5,19,200,1.88
0.0,2.3,1.5,21,50,4.46
0.0,2.5,0.5,19,100,2.38
1.0,1.7,0.5,17,100,1.43
0.0,2.8,1.5,19,100,3.42
0.1,1.1,1.0,17,100,2.09
0.0,1.2,0.5,17,100,1.51
0.0,2.6,1.0,17,200,2.24
0.1,1.2,1.0,17,200,1.27
1.0,2.8,2.5,19,50,3.42
0.5,2.2,1.5,21,200,1.87
1.0,2.7,1.0,21,100,2.24
0.5,2.4,1.5,17,200,1.85
